Wage,Age,Club,League,Nation,Position,Apps,Caps
"4,160,000",30,Brighton,Premier League,ENG,Defender,349,1
"4,160,000",25,Man UFC,Premier League,SCO,Defender,126,34
"4,160,000",37,Aston Villa,Premier League,ENG,Defender,524,39
"4,160,000",25,West Ham,Premier League,ENG,Midfilder,227,4
"4,160,000",24,Arsenal,Premier League,ENG,Goalkeeper,156,3
"4,160,000",21,Sevilla,La Liga,ESP,Midfilder,92,4
"4,160,000",26,Newcastle,Premier League,BRA,Midfilder,214,0
"4,160,000",22,Arsenal,Premier League,POR,Midfilder,88,0
"4,160,000",31,Crystal Palace,Premier League,SRB,Midfilder,342,39
"4,160,000",,Man City,Premier League,ARG,Forward,81,9
"4,160,000",29,Real Hispalis,La Liga,ESP,Midfilder,325,0
"4,160,000",33,Leicester,Premier League,ENG,Defender,408,19
"4,160,000",23,Leicester,Premier League,ZAM,Forward,138,31
"4,160,000",25,Aston Villa,Premier League,ARG,Midfilder,262,1
"4,138,000",25,Hertha Berlin,Bundesliga,FRA,Midfilder,194,0
"4,127,000",30,AS Monaco,Ligue 1 Uber Eats,GER,Midfilder,386,14
"4,091,000",22,PSG,Ligue 1 Uber Eats,POR,Midfilder,78,3
"4,056,000",,Valencia,La Liga,BRA,Defender,315,0
"4,035,000",27,AS Monaco,Ligue 1 Uber Eats,JPN,Forward,244,42
"4,004,000",,Chelsea,Premier League,ENG,Midfilder,175,31
"3,992,000",38,Inter,Serie A,SVN,Goalkeeper,598,81
"3,992,000",22,Milan,Serie A,ITA,Midfilder,153,11
"3,992,000",29,Lazio,Serie A,ESP,Midfilder,322,1
"3,987,000",22,Tottenham,Premier League,SWE,Midfilder,118,25
"3,955,000",,AS Monaco,Ligue 1 Uber Eats,RUS,Midfilder,192,45
"3,910,000",32,A. Bilbao,La Liga,ESP,Defender,323,0
"3,900,000",27,Aston Villa,Premier League,BEL,Defender,244,29
"3,900,000",30,Leicester,Premier League,DEN,Defender,291,35
"3,900,000",28,Newcastle,Premier League,PAR,Midfilder,252,44
"3,900,000",26,Tottenham,Premier League,COL,Defender,185,51
"3,900,000",26,Crystal Palace,Premier League,DEN,Defender,219,17
"3,900,000",28,Wolves,Premier League,ESP,Defender,316,3
"3,900,000",,Arsenal,Premier League,ENG,Forward,82,0
"3,900,000",23,Leicester,Premier League,ENG,Midfilder,83,0
"3,900,000",,Chelsea,Premier League,ALB,Forward,69,14
"3,900,000",34,Tottenham,Premier League,ENG,Goalkeeper,353,6
"3,900,000",23,Tottenham,Premier League,BRA,Defender,136,7
"3,900,000",22,Everton,Premier League,ENG,Midfilder,140,0
"3,900,000",,Leeds,Premier League,ENG,Forward,285,1
"3,900,000",28,Leicester,Premier League,BEL,Midfilder,305,15
"3,900,000",30,A. Madrid,La Liga,IRL,Defender,322,29
"3,880,000",,Sevilla,La Liga,ESP,Defender,600,46
"3,877,000",24,RB Leipzig,Bundesliga,AUT,Midfilder,186,29
"3,871,000",28,Milan,Serie A,CRO,Forward,239,42
"3,871,000",35,Milan,Serie A,FRA,Forward,478,112
"3,871,000",24,Milan,Serie A,ENG,Defender,147,3
"3,869,000",31,A. Madrid,La Liga,MNE,Defender,321,62
"3,869,000",30,Barcelona,La Liga,ESP,Defender,312,11
"3,869,000",25,Borussia M'gladbach,Bundesliga,FRA,Forward,188,4
"3,869,000",,PSG,Ligue 1 Uber Eats,POR,Defender,294,61
"3,869,000",,Bayer 04,Bundesliga,GER,Midfilder,60,4
"3,828,000",28,Capitoline,Serie A,ITA,Forward,333,44
"3,786,000",34,Capitoline,Serie A,SRB,Midfilder,419,48
"3,770,000",25,Everton,Premier League,ENG,Defender,157,0
"3,673,000",29,Parthenope,Serie A,ITA,Defender,324,21
"3,640,000",33,Nottm Forest,Premier League,BRA,Defender,264,2
"3,640,000",23,West Ham,Premier League,ITA,Forward,132,7
"3,640,000",23,Leeds,Premier League,COL,Midfilder,126,7
"3,640,000",24,Torino,Serie A,CRO,Forward,208,39
"3,640,000",21,Aston Villa,Premier League,ENG,Midfilder,69,0
"3,640,000",35,Crystal Palace,Premier League,ESP,Goalkeeper,385,0
"3,640,000",27,Aston Villa,Premier League,SCO,Midfilder,331,48
"3,640,000",,Leicester,Premier League,BEL,Defender,215,24
"3,640,000",33,Southampton,Premier League,ENG,Midfilder,401,47
"3,640,000",,West Ham,Premier League,ARG,Midfilder,310,5
"3,640,000",33,Everton,Premier League,IRL,Defender,373,65
"3,640,000",23,Liverpool,Premier League,FRA,Defender,89,2
"3,640,000",31,Crystal Palace,Premier League,ENG,Defender,343,14
"3,640,000",24,Aston Villa,Premier League,ENG,Defender,209,0
"3,640,000",29,Everton,Premier League,ENG,Defender,306,12
